"模块名","显示名称","描述","驱动程序类型","启动模式","状态","状态","接受停止","接受暂停","分页缓冲池(字节)","代码(字节)","BSS(字节)","链接日期","路径","Init(字节)"
"iaLPSSi_I2C","Intel(R) 串行 IO I2C 控制器驱动程序","Intel(R) 串行 IO I2C 控制器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","90,112","0","2015/2/24 23:52:07","C:\Windows\system32\drivers\iaLPSSi_I2C.sys","4,096"
"iaStorAVC","Intel 芯片集 SATA RAID 控制器","Intel 芯片集 SATA RAID 控制器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","786,432","0","2019/9/5 20:07:32","C:\Windows\system32\drivers\iaStorAVC.sys","4,096"
"iaStorV","Intel RAID Controller Windows 7","Intel RAID Controller Windows 7","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","364,544","0","2011/4/12 2:48:16","C:\Windows\system32\drivers\iaStorV.sys","8,192"
"ibbus","Mellanox InfiniBand 总线/AL (筛选器驱动程序)","Mellanox InfiniBand 总线/AL (筛选器驱动程序)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","499,712","0","2019/6/19 21:20:09","C:\Windows\system32\drivers\ibbus.sys","8,192"
"IndirectKmd","Indirect Displays 内核模式驱动程序","Indirect Displays 内核模式驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","8,192","0","","C:\Windows\system32\drivers\IndirectKmd.sys","4,096"
"intelide","intelide","intelide","Kernel ","Boot","Running","OK","TRUE","FALSE","0","8,192","0","","C:\Windows\system32\drivers\intelide.sys","4,096"
"intelpep","Intel(R) Power Engine Plug-in Driver","Intel(R) Power Engine Plug-in Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","32,768","53,248","0","","C:\Windows\system32\drivers\intelpep.sys","4,096"
"intelpmax","Intel(R) Dynamic Device Peak Power Manager Driver","Intel(R) Dynamic Device Peak Power Manager Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","12,288","0","","C:\Windows\system32\drivers\intelpmax.sys","4,096"
"intelppm","Intel Processor Driver","Intel Processor Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","110,592","69,632","0","","C:\Windows\system32\drivers\intelppm.sys","8,192"
"iorate","磁盘 I/O 速率筛选器驱动程序","磁盘 I/O 速率筛选器驱动程序","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","28,672","0","","C:\Windows\system32\drivers\iorate.sys","4,096"
